Country,Pais,Numero_de_series
United States,Estados Unidos,686
United Kingdom,Reino Unido,223
Japan,Japón,156
South Korea,Corea del Sur,116
Canada,Canadá,107
France,Francia,70
Taiwan,Taiwán,65
India,India,55
Australia,Australia,50
Spain,España,45
Mexico,México,45
China,China,36
Germany,Alemania,25
Turkey,Turquía,25
Colombia,Colombia,23
Thailand,Tailandia,18
Brazil,Brasil,18
Italy,Italia,15
Russia,Rusia,14
Argentina,Argentina,14
Singapore,Singapur,13
Ireland,Irlanda,11
Denmark,Dinamarca,9
Egypt,Egipto,9
Israel,Israel,9
Norway,Noruega,8
Belgium,Bélgica,8
Sweden,Suecia,8
New Zealand,Nueva Zelanda,8
Lebanon,Líbano,7
Malaysia,Malaysia,7
Netherlands,Países Bajos,6
Poland,Polonia,5
Czech Republic,Czech Republic,5
South Africa,Sudáfrica,5
Hong Kong,Hong Kong,4
Chile,Chile,4
Pakistan,Pakistan,4
Greece,Greece,3
Finland,Finland,3
West Germany,West Germany,2
Ukraine,Ukraine,2
Indonesia,Indonesia,2
Switzerland,Switzerland,1
Iceland,Iceland,1
Jordan,Jordan,1
United Arab Emirates,United Arab Emirates,1
Cuba,Cuba,1
Azerbaijan,Azerbaijan,1
Mauritius,Mauritius,1
Philippines,Filipinas,1
Saudi Arabia,Saudi Arabia,1
Syria,Syria,1
Kuwait,Kuwait,1
Malta,Malta,1
Croatia,Croatia,1
Hungary,Hungary,1
Cyprus,Cyprus,1
Austria,Austria,1
