country,pais_label,latitude,longitude,suscriptores,penetracion,region
United States,Estados Unidos,39.8,-98.6,66.7,19.8,Norteamerica
United Kingdom,Reino Unido,54.0,-2.0,18.4,27.0,Europa
Mexico,México,23.6,-102.5,17.0,13.0,Latinoamerica
Brazil,Brasil,-14.2,-51.9,16.6,7.7,Latinoamerica
Germany,Alemania,51.2,10.4,16.6,19.7,Europa
France,Francia,46.6,2.2,13.6,20.0,Europa
India,India,22.0,79.0,12.4,0.9,Asia-Pacifico
Canada,Canadá,56.1,-106.3,9.0,22.6,Norteamerica
Japan,Japón,36.2,138.3,9.0,7.2,Asia-Pacifico
South Korea,Corea del Sur,35.9,127.8,8.4,16.2,Asia-Pacifico
Argentina,Argentina,-38.4,-63.6,7.5,16.3,Latinoamerica
Australia,Australia,-25.3,133.8,6.5,24.5,Asia-Pacifico
Colombia,Colombia,4.6,-74.3,6.5,12.6,Latinoamerica
Spain,España,40.4,-3.7,6.0,12.6,Europa
Italy,Italia,41.9,12.6,5.5,9.3,Europa
Chile,Chile,-35.7,-71.5,4.5,22.9,Latinoamerica
Netherlands,Países Bajos,52.1,5.3,4.2,23.5,Europa
Turkey,Turquía,39.0,35.2,4.0,4.7,Europa
Poland,Polonia,51.9,19.1,3.5,9.2,Europa
Thailand,Tailandia,15.9,100.9,3.0,4.3,Asia-Pacifico
